Row,Month,Year,Age,Source,Blood_ppm,Censored,Liver_ppm,Bone_ppm,Blood_lead_level,Liver_lead_level,Bone_lead_level,Lead_level_code,X_ray_results,County_found,Outcome,Comments,Released
219,March,2012,adult,SOAR,0.13,0,NA,NA,B,NA,NA,B,N,Mitchell,EU,NA,NotR
220,March,2012,juvenile,SOAR,0.65,1,NA,NA,C,NA,NA,C,PG,Palo Alto,Died,**tiny lead fragment in gi tract  **> 0.65 ppm in blood - 38.4 ppm lead in liver,NotR
221,March,2012,adult,SOAR,0.07,0,NA,NA,B,NA,NA,B,N,Woodbury,EU,NA,NotR
222,March,2012,NA,WCC,4,0,NA,NA,C,NA,NA,C,NA,NA,Died,NA,NotR
223,March,2012,NA,Macbride,0.42,0,NA,NA,SC,NA,NA,SC,NA,NA,Died,NA,NotR
224,April,2012,adult,BLACKHAWK,0.16,0,NA,NA,B,NA,NA,B,N,Black Hawk,R,NA,R
225,April,2012,adult,SOAR,0.15,0,NA,NA,B,NA,NA,B,N,Dickinson,Died,**0.15 ppm in blood and < 1 ppm in liver,NotR
226,April,2012,adult,SOAR,0.45,0,NA,NA,SC,NA,NA,SC,N,Dickinson,Died,**0.45 ppm in blood and 4.2 ppm in liver,NotR
227,April,2012,adult,SOAR,NA,NA,24.3,NA,NA,C,NA,C,PS,Floyd,DOA,**>0 .65 ppm in heart blood and 24.3 ppm in liver,NotR
228,April,2012,<1,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Webster,R,NA,R
229,June,2012,adult,Macbride,0.034,0,NA,NA,B,NA,NA,B,N,Clayton,EU,NA,NotR
230,July,2012,juvenile,BLACKHAWK,0.001,0,NA,NA,B,NA,NA,B,NA,Black Hawk,R,NA,R
231,August,2012,adult,SOAR,NA,NA,1,NA,NA,B,NA,B,N,Marion,EU,NA,NotR
232,September,2012,<1,Macbride,5e-4,0,NA,NA,B,NA,NA,B,NA,Louisa,R,NA,R
233,September,2012,adult,Macbride,0.041,0,NA,NA,B,NA,NA,B,NA,Jefferson,EU,NA,NotR
234,October,2012,<1,SOAR,0.04,0,NA,NA,B,NA,NA,B,NA,Dickinson,Died,"**BLL =  0.04 ppm, liver lead test <0.5 ppm, bone lead test = 9.0 ppm",NotR
235,November,2012,adult,BLACKHAWK,NA,NA,41,NA,NA,C,NA,C,NA,Hardin,DOA,NA,NotR
236,November,2012,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,N,Sioux,Died,NA,NotR
237,November,2012,<1,SOAR,NA,NA,1,NA,NA,B,NA,B,NA,Webster,EU,**<1 ppm in liver and < 1 ppm in bone,NotR
238,December,2012,adult,Macbride,0.478,0,NA,NA,SC,NA,NA,SC,PG,Clayton,R,**lead shrapnel in lower digestive tract,R
239,December,2012,adult,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,PG,Delaware,DOA,**lead shrapnel confirmed in digestive tract,NotR
240,December,2012,adult,SOAR,0.169,0,NA,NA,B,NA,NA,B,NA,Guthrie,R,NA,R
241,December,2012,adult,Macbride,0.155,0,NA,NA,B,NA,NA,B,N,Howard,R,NA,R
242,December,2012,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Linn,EU,NA,NotR
243,December,2012,adult,SOAR,NA,NA,0.6,NA,NA,B,NA,B,PS,Monona,DOA,**rifle shot in leg,NotR
244,January,2013,juvenile,SOAR,NA,NA,2.2,NA,NA,SC,NA,SC,N,Adams,DOA,**2.2 ppm in liver and 16.9 ppm in bone,NotR
245,January,2013,adult,SOAR,0.255,0,NA,NA,SC,NA,NA,SC,NA,Carroll,Died,NA,NotR
246,January,2013,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,N,Decatur,Died,** >0 .65 ppm in blood and 2.7 ppm in liver and 3.7 ppm in bone,NotR
247,January,2013,adult,Macbride,0.12,0,NA,NA,B,NA,NA,B,N,Delaware,R,NA,R
248,January,2013,adult,SOAR,0.331,0,NA,NA,SC,NA,NA,SC,NA,Dubuque,R,NA,R
249,January,2013,juvenile,SOAR,NA,NA,1,NA,NA,B,NA,B,N,Greene,DOA,**< 1 ppm in liver and < 1 ppm in bone,NotR
250,January,2013,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,PG,Page,Died,** >0.65 ppm in blood and 34.8 ppm in liver and 44.4 ppm in bone  **copper jacked lead core rifle bullet (.22mag),NotR
251,January,2013,adult,BLACKHAWK,0.65,1,NA,NA,C,NA,NA,C,NA,Winneshiek,Died,NA,NotR
252,February,2013,<1,SOAR,0.126,0,NA,NA,B,NA,NA,B,NA,Adair,EU,NA,NotR
253,February,2013,adult,SOAR,NA,NA,23.8,NA,NA,C,NA,C,N,Adams,DOA,**23.8 ppm in liver and 9.5 ppm in bone,NotR
254,February,2013,juvenile,BLACKHAWK,0.63,0,NA,NA,C,NA,NA,C,NA,Black Hawk,Died,NA,NotR
255,February,2013,juvenile,BLACKHAWK,0.97,0,NA,NA,C,NA,NA,C,NA,Dubuque,Died,NA,NotR
256,February,2013,juvenile,SOAR,NA,NA,5.7,NA,NA,SC,NA,SC,N,Guthrie,DOA,**5.7 ppm in liver and 3.5 ppm in bone,NotR
257,February,2013,adult,SOAR,0.126,0,NA,NA,B,NA,NA,B,NA,Marion,R,NA,R
258,February,2013,adult,Macbride,0.268,0,NA,NA,SC,NA,NA,SC,N,Muscatine,R,NA,R
259,February,2013,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,NA,Wapello,Died,** >0.65 ppm in blood and 1.9 ppm in liver and 3.8 ppm in bone,NotR
260,March,2013,juvenile,SOAR,0.026,0,NA,NA,B,NA,NA,B,NA,Allamakee,EU,NA,NotR
261,March,2013,juvenile,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,PS,Carroll,DOA,NA,NotR
262,March,2013,juvenile,SOAR,0.06,0,NA,NA,B,NA,NA,B,NA,Dallas,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
263,March,2013,adult,SOAR,0.206,0,NA,NA,SC,NA,NA,SC,N,O'Brien,Died,NA,NotR
264,March,2013,adult,SOAR,0.118,0,NA,NA,B,NA,NA,B,NA,Palo Alto,R,NA,R
265,March,2013,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Tama,EU,NA,NotR
266,April,2013,adult,SOAR,0.01,0,NA,NA,B,NA,NA,B,NA,Dubuque,Died,NA,NotR
267,May,2013,juvenile,SOAR,0.043,0,NA,NA,B,NA,NA,B,N,Adair,Died,NA,NotR
268,May,2013,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,PG,Cerro Gordo,Died,**2 pieces #5 lead shot in GI tract; **> 0.65 ppm lead in blood; 1.1 ppm liver; 43.0 ppm bone,NotR
269,May,2013,juvenile,SOAR,NA,NA,0.5,NA,NA,B,NA,B,PS,Floyd,DOA,**one #1 steel pellet lodged in back of eyeball,NotR
270,June,2013,<1,SOAR,0.014,0,NA,NA,B,NA,NA,B,NA,Jasper,R,NA,R
271,September,2013,adult,Macbride,0.012,0,NA,NA,B,NA,NA,B,N,Jackson,R,NA,R
272,October,2013,adult,BLACKHAWK,NA,NA,13.1,NA,NA,C,NA,C,PG,Allamakee,Died,**Shrapnel in digestive tract,NotR
273,November,2013,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,N,Carroll,Died,NA,NotR
274,November,2013,<1,SOAR,50.6,0,NA,NA,C,NA,NA,C,PS,Greene,DOA,**outlier removed from statistics only,NotR
275,November,2013,juvenile,SOAR,0.2,0,NA,NA,SC,NA,NA,SC,NA,Montegomery,R,NA,R
276,November,2013,NA,Macbride,0.105,0,NA,NA,B,NA,NA,B,N,Wapello,R,NA,R
277,November,2013,<1,SOAR,0.02,0,NA,NA,B,NA,NA,B,NA,Woodbury,R,NA,R
278,December,2013,<1,Macbride,0.267,0,NA,NA,SC,NA,NA,SC,N,Dubuque,EU,NA,NotR
279,December,2013,adult,Macbride,0.04,0,NA,NA,B,NA,NA,B,N,Linn,R,NA,R
280,December,2013,adult,SOAR,NA,NA,52.8,NA,NA,C,NA,C,PG,Winneshiek,Died,**Shrapnel in digestive tract,NotR
281,January,2014,juvenile,SOAR,0.215,0,NA,NA,SC,NA,NA,SC,NA,Greene,EU,NA,NotR
282,January,2014,juvenile,SOAR,0.65,1,NA,NA,C,NA,NA,C,N,Marion,Died,NA,NotR
283,January,2014,adult,WCC,2,0,NA,NA,C,NA,NA,C,NA,Story,EU,NA,NotR
284,February,2014,adult,SOAR,0.65,1,NA,NA,C,NA,NA,C,NA,Allamakee,EU,NA,NotR
